教师编号,性别,学位,职称,主要研究方向,性别编码,学位编码,职称编码,研究方向编码,研究方向大类,综合得分,指导水平,交叉验证预测得分,预测绝对误差
1,男,博士,讲师,模糊数学,1,1,1,0,基础数学与方程类,5.009529,IV,20.930886,15.921357
2,男,博士,教授,优化、图与网络,1,1,3,1,优化运筹类,77.102142,I,38.445168,38.656974
3,女,博士,讲师,概率统计,0,1,1,0,基础数学与方程类,0.000000,IV,18.771066,18.771066
4,男,博士,讲师,微分方程,1,1,1,0,基础数学与方程类,40.359416,I,15.762793,24.596623
5,男,博士,讲师,数据分析与可视化,1,1,1,2,算法数据类,1.594866,IV,21.699642,20.104776
6,女,博士,副教授,数值计算,0,1,2,2,算法数据类,5.009529,IV,20.884548,15.875019
7,男,博士,教授,算法设计与分析,1,1,3,2,算法数据类,85.718336,I,26.621242,59.097094
8,女,硕士,副教授,时间序列,0,0,2,2,算法数据类,10.687958,IV,22.694444,12.006486
9,女,硕士,教授,运筹与控制,0,0,3,1,优化运筹类,31.894708,II,43.574805,11.680097
10,女,博士,讲师,半群与代数,0,1,1,3,代数密码类,12.345820,III,19.932084,7.586264
11,男,博士,教授,泛函分析,1,1,3,0,基础数学与方程类,17.931580,II,37.985082,20.053502
12,男,博士,副教授,图像处理与小波分析,1,1,2,4,图像处理类,10.336801,IV,20.852379,10.515578
13,女,博士,讲师,密码学,0,1,1,3,代数密码类,39.018818,II,16.553145,22.465673
14,男,博士,讲师,算法设计与分析,1,1,1,2,算法数据类,17.335671,III,18.924100,1.588429
15,男,博士,讲师,数据分析与可视化,1,1,1,2,算法数据类,5.697972,IV,21.005636,15.307664
16,女,硕士,副教授,半群与代数,0,0,2,3,代数密码类,30.660271,II,20.715610,9.944661
17,男,硕士,副教授,优化、图与网络,1,0,2,1,优化运筹类,41.042579,I,29.484843,11.557736
18,男,博士,讲师,泛函分析,1,1,1,0,基础数学与方程类,13.510947,III,19.619582,6.108635
19,男,博士,讲师,运筹与控制,1,1,1,1,优化运筹类,19.286245,II,29.751046,10.464801
20,男,博士,副教授,密码学,1,1,2,3,代数密码类,12.523671,III,21.849270,9.325599
21,男,博士,教授,模糊数学,1,1,3,0,基础数学与方程类,54.911621,I,31.774222,23.137399
22,男,博士,副教授,微分方程,1,1,2,0,基础数学与方程类,33.357690,II,19.488679,13.869011
23,女,博士,教授,优化与决策,0,1,3,1,优化运筹类,52.727173,I,41.230011,11.497162
24,男,博士,讲师,概率统计,1,1,1,0,基础数学与方程类,15.048986,III,20.735122,5.686136
25,女,博士,副教授,图像处理与小波分析,0,1,2,4,图像处理类,15.524485,III,18.874320,3.349835
26,女,博士,讲师,密码学,0,1,1,3,代数密码类,11.430897,III,19.426489,7.995592
27,男,硕士,副教授,时间序列,1,0,2,2,算法数据类,28.395354,II,19.975052,8.420302
28,男,博士,教授,数据分析与可视化,1,1,3,2,算法数据类,23.857655,II,39.840238,15.982583
29,女,博士,教授,运筹与控制,0,1,3,1,优化运筹类,58.834359,I,41.140177,17.694182
30,女,博士,讲师,微分方程,0,1,1,0,基础数学与方程类,14.448471,III,16.839971,2.391500
31,女,博士,副教授,模糊数学,0,1,2,0,基础数学与方程类,16.064445,III,17.918474,1.854029
32,男,博士,教授,算法设计与分析,1,1,3,2,算法数据类,30.512193,II,38.680683,8.168490
33,男,博士,讲师,半群与代数,1,1,1,3,代数密码类,14.673280,III,20.104518,5.431238
34,男,博士,副教授,图像处理与小波分析,1,1,2,4,图像处理类,13.510947,III,19.824758,6.313811
35,女,博士,讲师,优化、图与网络,0,1,1,1,优化运筹类,19.286245,II,28.553649,9.267404
